county,FIPS,date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
New Castle County DE,10003,03/05,0.00,0.00,0.00,0.00,0.00,0.00
New Castle County DE,10003,03/06,0.00,0.00,0.00,0.00,0.00,0.00
New Castle County DE,10003,03/07,0.00,0.00,0.00,0.00,0.00,0.00
New Castle County DE,10003,03/08,0.00,0.00,0.00,0.00,0.00,0.00
New Castle County DE,10003,03/09,0.00,0.00,0.00,0.00,0.00,0.00
New Castle County DE,10003,03/10,0.00,0.00,0.00,0.00,0.00,0.00
New Castle County DE,10003,03/11,0.00,0.00,0.00,0.00,0.00,0.00
New Castle County DE,10003,03/12,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/13,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/14,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/15,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/16,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/17,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/18,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/19,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/20,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/21,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/22,0.00,0.00,1.00,0.00,0.00,0.00
New Castle County DE,10003,03/23,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,03/24,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,03/25,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,03/26,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,03/27,0.00,0.00,3.00,0.00,0.00,0.00
New Castle County DE,10003,03/28,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,03/29,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,03/30,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,03/31,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,04/01,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,04/02,0.00,0.00,3.00,0.00,0.00,0.00
New Castle County DE,10003,04/03,0.00,0.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/04,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,04/05,0.00,0.00,3.00,0.00,0.00,0.00
New Castle County DE,10003,04/06,0.00,0.00,2.00,0.00,0.00,0.00
New Castle County DE,10003,04/07,0.00,0.00,3.00,0.00,0.00,0.00
New Castle County DE,10003,04/08,0.00,1.00,3.00,0.00,0.00,0.00
New Castle County DE,10003,04/09,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/10,0.00,1.00,5.00,0.00,0.00,0.00
New Castle County DE,10003,04/11,0.00,1.00,5.00,0.00,0.00,0.00
New Castle County DE,10003,04/12,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/13,0.00,1.00,5.00,0.00,0.00,0.00
New Castle County DE,10003,04/14,0.00,1.00,3.00,0.00,0.00,0.00
New Castle County DE,10003,04/15,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/16,0.00,1.00,5.00,0.00,0.00,0.00
New Castle County DE,10003,04/17,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/18,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/19,0.00,1.00,5.00,0.00,0.00,0.00
New Castle County DE,10003,04/20,0.00,1.00,6.00,0.00,0.00,0.00
New Castle County DE,10003,04/21,0.00,1.00,5.00,0.00,0.00,0.00
New Castle County DE,10003,04/22,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/23,0.00,1.00,3.00,0.00,0.00,0.00
New Castle County DE,10003,04/24,0.00,1.00,3.00,0.00,0.00,0.00
New Castle County DE,10003,04/25,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/26,0.00,0.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/27,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/28,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/29,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,04/30,0.00,1.00,3.00,0.00,0.00,0.00
New Castle County DE,10003,05/01,0.00,1.00,4.00,0.00,0.00,0.00
New Castle County DE,10003,05/02,0.00,1.00,5.00,0.00,0.00,0.00
New Castle County DE,10003,05/03,0.00,1.00,4.00,0.00,0.00,0.00
Weld County CO,8123,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,02/26,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,02/27,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,02/28,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,02/29,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/01,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/02,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/03,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/04,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/05,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/06,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/07,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/08,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/09,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/10,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/11,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/12,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/13,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/14,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/15,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/16,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/17,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/18,0.00,0.00,0.00,0.00,0.00,0.00
Weld County CO,8123,03/19,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/20,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/21,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/22,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/23,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/24,0.00,0.00,2.00,0.00,0.00,0.00
Weld County CO,8123,03/25,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/26,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/27,0.00,0.00,2.00,0.00,0.00,0.00
Weld County CO,8123,03/28,0.00,0.00,1.00,0.00,0.00,0.00
Weld County CO,8123,03/29,0.00,0.00,2.00,0.00,0.00,0.00
Weld County CO,8123,03/30,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,03/31,0.00,0.00,2.00,0.00,0.00,0.00
Weld County CO,8123,04/01,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/02,0.00,0.00,2.00,0.00,0.00,0.00
Weld County CO,8123,04/03,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/04,0.00,0.00,2.00,0.00,0.00,0.00
Weld County CO,8123,04/05,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/06,0.00,0.00,2.00,0.00,0.00,0.00
Weld County CO,8123,04/07,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/08,0.00,0.00,4.00,0.00,0.00,0.00
Weld County CO,8123,04/09,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/10,0.00,1.00,4.00,0.00,0.00,0.00
Weld County CO,8123,04/11,0.00,1.00,5.00,0.00,0.00,0.00
Weld County CO,8123,04/12,0.00,1.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/13,0.00,1.00,6.00,0.00,0.00,0.00
Weld County CO,8123,04/14,0.00,1.00,5.00,0.00,0.00,0.00
Weld County CO,8123,04/15,0.00,1.00,4.00,0.00,0.00,0.00
Weld County CO,8123,04/16,0.00,1.00,6.00,0.00,0.00,0.00
Weld County CO,8123,04/17,0.00,1.00,4.00,0.00,0.00,0.00
Weld County CO,8123,04/18,0.00,1.00,4.00,0.00,0.00,0.00
Weld County CO,8123,04/19,0.00,0.00,4.00,0.00,0.00,0.00
Weld County CO,8123,04/20,0.00,1.00,5.00,0.00,0.00,0.00
Weld County CO,8123,04/21,0.00,1.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/22,0.00,1.00,4.00,0.00,0.00,0.00
Weld County CO,8123,04/23,0.00,1.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/24,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/25,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/26,0.00,1.00,4.00,0.00,0.00,0.00
Weld County CO,8123,04/27,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/28,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/29,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,04/30,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,05/01,0.00,0.00,2.00,0.00,0.00,0.00
Weld County CO,8123,05/02,0.00,0.00,3.00,0.00,0.00,0.00
Weld County CO,8123,05/03,0.00,0.00,3.00,0.00,0.00,0.00
Kent County MI,26081,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,02/26,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,02/27,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,02/28,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,02/29,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/01,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/02,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/03,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/04,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/05,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/06,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/07,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/08,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/09,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/10,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/11,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/12,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/13,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/14,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/15,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/16,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/17,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/18,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/19,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/20,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/21,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/22,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/23,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/24,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/25,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/26,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/27,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/28,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/29,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/30,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,03/31,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,04/01,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,04/02,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/03,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,04/04,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,04/05,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/06,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,04/07,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/08,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,04/09,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,04/10,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,04/11,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,04/12,0.00,0.00,2.00,0.00,0.00,0.00
Kent County MI,26081,04/13,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/14,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/15,0.00,0.00,2.00,0.00,0.00,0.00
Kent County MI,26081,04/16,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/17,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/18,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/19,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/20,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/21,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/22,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/23,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/24,0.00,0.00,2.00,0.00,0.00,0.00
Kent County MI,26081,04/25,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/26,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/27,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,04/28,0.00,0.00,3.00,0.00,0.00,0.00
Kent County MI,26081,04/29,0.00,0.00,0.00,0.00,0.00,0.00
Kent County MI,26081,04/30,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,05/01,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,05/02,0.00,0.00,1.00,0.00,0.00,0.00
Kent County MI,26081,05/03,0.00,0.00,1.00,0.00,0.00,0.00
Adams County CO,8001,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,02/26,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,02/27,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,02/28,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,02/29,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,03/01,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,03/02,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,03/03,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,03/04,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,03/05,0.00,0.00,0.00,0.00,0.00,0.00
Adams County CO,8001,03/06,0.00,0.00,1.00,0.00,0.00,0.00
Adams County CO,8001,03/07,0.00,0.00,1.00,0.00,0.00,0.00
Adams County CO,8001,03/08,0.00,0.00,1.00,0.00,0.00,0.00
Adams County CO,8001,03/09,0.00,0.00,1.00,0.00,0.00,0.00
Adams County CO,8001,03/10,0.00,0.00,1.00,0.00,0.00,0.00
Adams County CO,8001,03/11,0.00,0.00,1.00,0.00,0.00,0.00
Adams County CO,8001,03/12,0.00,0.00,1.00,0.00,0.00,0.00
Adams County CO,8001,03/13,0.00,0.00,1.00,0.00,0.00,0.00
Adams County CO,8001,03/14,0.00,0.00,2.00,0.00,0.00,0.00
Adams County CO,8001,03/15,0.00,0.00,1.00,0.00,0.00,0.00
Adams County CO,8001,03/16,0.00,0.00,2.00,0.00,0.00,0.00
Adams County CO,8001,03/17,0.00,0.00,3.00,0.00,0.00,0.00
Adams County CO,8001,03/18,0.00,0.00,3.00,0.00,0.00,0.00
Adams County CO,8001,03/19,0.00,0.00,3.00,0.00,0.00,0.00
Adams County CO,8001,03/20,0.00,0.00,3.00,0.00,0.00,0.00
Adams County CO,8001,03/21,0.00,0.00,3.00,0.00,0.00,0.00
Adams County CO,8001,03/22,0.00,0.00,3.00,0.00,0.00,0.00
Adams County CO,8001,03/23,0.00,0.00,4.00,0.00,0.00,0.00
Adams County CO,8001,03/24,0.00,1.00,5.00,0.00,0.00,0.00
Adams County CO,8001,03/25,0.00,1.00,6.00,0.00,0.00,0.00
Adams County CO,8001,03/26,0.00,0.00,5.00,0.00,0.00,0.00
Adams County CO,8001,03/27,0.00,1.00,4.00,0.00,0.00,0.00
Adams County CO,8001,03/28,0.00,1.00,5.00,0.00,0.00,0.00
Adams County CO,8001,03/29,0.00,1.00,8.00,0.00,0.00,0.00
Adams County CO,8001,03/30,0.00,1.00,7.00,0.00,0.00,0.00
Adams County CO,8001,03/31,0.00,1.00,6.00,0.00,0.00,0.00
Adams County CO,8001,04/01,0.00,1.00,7.00,0.00,0.00,0.00
Adams County CO,8001,04/02,0.00,1.00,7.00,0.00,0.00,0.00
Adams County CO,8001,04/03,0.00,2.00,6.00,0.00,0.00,1.00
Adams County CO,8001,04/04,0.00,2.00,7.00,0.00,0.00,0.00
Adams County CO,8001,04/05,0.00,2.00,9.00,0.00,0.00,0.00
Adams County CO,8001,04/06,0.00,1.00,10.00,0.00,0.00,0.00
Adams County CO,8001,04/07,0.00,2.00,11.00,0.00,0.00,0.00
Adams County CO,8001,04/08,0.00,2.00,10.00,0.00,0.00,0.00
Adams County CO,8001,04/09,0.00,2.00,16.00,0.00,0.00,1.00
Adams County CO,8001,04/10,0.00,2.00,12.00,0.00,0.00,1.00
Adams County CO,8001,04/11,0.00,3.00,14.00,0.00,0.00,1.00
Adams County CO,8001,04/12,0.00,3.00,14.00,0.00,0.00,0.00
Adams County CO,8001,04/13,0.00,4.00,15.00,0.00,0.00,1.00
Adams County CO,8001,04/14,0.00,3.00,12.00,0.00,0.00,1.00
Adams County CO,8001,04/15,0.00,3.00,14.00,0.00,0.00,2.00
Adams County CO,8001,04/16,0.00,3.00,14.00,0.00,0.00,1.00
Adams County CO,8001,04/17,0.00,3.00,14.00,0.00,0.00,0.00
Adams County CO,8001,04/18,0.00,3.00,14.00,0.00,0.00,1.00
Adams County CO,8001,04/19,0.00,3.00,13.00,0.00,0.00,1.00
Adams County CO,8001,04/20,0.00,2.00,13.00,0.00,0.00,1.00
Adams County CO,8001,04/21,0.00,3.00,13.00,0.00,0.00,1.00
Adams County CO,8001,04/22,0.00,2.00,11.00,0.00,0.00,1.00
Adams County CO,8001,04/23,0.00,2.00,10.00,0.00,0.00,1.00
Adams County CO,8001,04/24,0.00,3.00,9.00,0.00,0.00,1.00
Adams County CO,8001,04/25,0.00,2.00,10.00,0.00,0.00,1.00
Adams County CO,8001,04/26,0.00,2.00,9.00,0.00,0.00,1.00
Adams County CO,8001,04/27,0.00,2.00,8.00,0.00,0.00,0.00
Adams County CO,8001,04/28,0.00,2.00,9.00,0.00,0.00,1.00
Adams County CO,8001,04/29,0.00,2.00,12.00,0.00,0.00,1.00
Adams County CO,8001,04/30,0.00,2.00,8.00,0.00,0.00,0.00
Adams County CO,8001,05/01,0.00,1.00,7.00,0.00,0.00,0.00
Adams County CO,8001,05/02,0.00,1.00,8.00,0.00,0.00,0.00
Adams County CO,8001,05/03,0.00,1.00,6.00,0.00,0.00,0.00
Cobb County GA,13067,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Cobb County GA,13067,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Cobb County GA,13067,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Cobb County GA,13067,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Cobb County GA,13067,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Cobb County GA,13067,02/26,0.00,0.00,0.00,0.00,0.00,0.00
Cobb County GA,13067,02/27,0.00,0.00,0.00,0.00,0.00,0.00
Cobb County GA,13067,02/28,0.00,0.00,0.00,0.00,0.00,0.00
Cobb County GA,13067,02/29,0.00,0.00,1.00,0.00,0.00,0.00
Cobb County GA,13067,03/01,0.00,0.00,2.00,0.00,0.00,0.00
Cobb County GA,13067,03/02,0.00,0.00,2.00,0.00,0.00,0.00
Cobb County GA,13067,03/03,0.00,0.00,3.00,0.00,0.00,0.00
Cobb County GA,13067,03/04,0.00,1.00,4.00,0.00,0.00,0.00
Cobb County GA,13067,03/05,0.00,1.00,6.00,0.00,0.00,0.00
Cobb County GA,13067,03/06,0.00,2.00,7.00,0.00,0.00,0.00
Cobb County GA,13067,03/07,0.00,3.00,8.00,0.00,0.00,0.00
Cobb County GA,13067,03/08,0.00,3.00,10.00,0.00,0.00,1.00
Cobb County GA,13067,03/09,0.00,4.00,12.00,0.00,0.00,1.00
Cobb County GA,13067,03/10,0.00,5.00,14.00,0.00,0.00,1.00
Cobb County GA,13067,03/11,0.00,6.00,17.00,0.00,0.00,1.00
Cobb County GA,13067,03/12,0.00,8.00,21.00,0.00,0.00,2.00
Cobb County GA,13067,03/13,1.00,8.00,23.00,0.00,0.00,1.00
Cobb County GA,13067,03/14,0.00,10.00,26.00,0.00,0.00,2.00
Cobb County GA,13067,03/15,1.00,10.00,30.00,0.00,0.00,2.00
Cobb County GA,13067,03/16,1.00,12.00,32.00,0.00,0.00,2.00
Cobb County GA,13067,03/17,1.00,12.00,35.00,0.00,0.00,3.00
Cobb County GA,13067,03/18,0.00,13.00,44.00,0.00,0.00,2.00
Cobb County GA,13067,03/19,2.00,14.00,43.00,0.00,0.00,3.00
Cobb County GA,13067,03/20,1.00,15.00,41.00,0.00,0.00,2.00
Cobb County GA,13067,03/21,0.00,15.00,51.00,0.00,0.00,3.00
Cobb County GA,13067,03/22,1.00,17.00,49.00,0.00,1.00,3.00
Cobb County GA,13067,03/23,1.00,17.00,59.00,0.00,0.00,5.00
Cobb County GA,13067,03/24,1.00,16.00,63.00,0.00,1.00,5.00
Cobb County GA,13067,03/25,1.00,17.00,65.00,0.00,1.00,4.00
Cobb County GA,13067,03/26,3.00,17.00,67.00,0.00,1.00,6.00
Cobb County GA,13067,03/27,2.00,19.00,81.00,0.00,1.00,5.00
Cobb County GA,13067,03/28,2.00,19.00,82.00,0.00,1.00,6.00
Cobb County GA,13067,03/29,2.00,21.00,84.00,0.00,1.00,5.00
Cobb County GA,13067,03/30,1.00,20.00,95.00,0.00,1.00,6.00
Cobb County GA,13067,03/31,2.00,21.00,98.00,0.00,1.00,7.00
Cobb County GA,13067,04/01,2.00,22.00,109.00,0.00,1.00,6.00
Cobb County GA,13067,04/02,3.00,22.00,113.00,0.00,1.00,6.00
Cobb County GA,13067,04/03,1.00,25.00,115.00,0.00,1.00,7.00
Cobb County GA,13067,04/04,2.00,24.00,112.00,0.00,1.00,8.00
Cobb County GA,13067,04/05,3.00,24.00,109.00,0.00,1.00,11.00
Cobb County GA,13067,04/06,3.00,23.00,114.00,0.00,1.00,8.00
Cobb County GA,13067,04/07,3.00,25.00,115.00,0.00,2.00,7.00
Cobb County GA,13067,04/08,3.00,24.00,115.00,0.00,2.00,8.00
Cobb County GA,13067,04/09,3.00,23.00,109.00,0.00,2.00,8.00
Cobb County GA,13067,04/10,1.00,24.00,123.00,0.00,1.00,8.00
Cobb County GA,13067,04/11,3.00,25.00,146.00,0.00,2.00,9.00
Cobb County GA,13067,04/12,1.00,26.00,128.00,0.00,1.00,9.00
Cobb County GA,13067,04/13,1.00,25.00,133.00,0.00,1.00,10.00
Cobb County GA,13067,04/14,1.00,22.00,109.00,0.00,1.00,9.00
Cobb County GA,13067,04/15,3.00,22.00,106.00,0.00,1.00,10.00
Cobb County GA,13067,04/16,3.00,21.00,116.00,0.00,1.00,9.00
Cobb County GA,13067,04/17,2.00,19.00,110.00,0.00,1.00,8.00
Cobb County GA,13067,04/18,1.00,20.00,102.00,0.00,2.00,6.00
Cobb County GA,13067,04/19,2.00,17.00,114.00,0.00,1.00,8.00
Cobb County GA,13067,04/20,2.00,19.00,92.00,0.00,1.00,6.00
Cobb County GA,13067,04/21,2.00,16.00,74.00,0.00,1.00,8.00
Cobb County GA,13067,04/22,2.00,15.00,82.00,0.00,1.00,8.00
Cobb County GA,13067,04/23,1.00,13.00,74.00,0.00,1.00,8.00
Cobb County GA,13067,04/24,1.00,12.00,73.00,0.00,1.00,8.00
Cobb County GA,13067,04/25,1.00,12.00,60.00,0.00,1.00,7.00
Cobb County GA,13067,04/26,0.00,11.00,60.00,0.00,1.00,7.00
Cobb County GA,13067,04/27,1.00,10.00,60.00,0.00,0.00,6.00
Cobb County GA,13067,04/28,1.00,9.00,56.00,0.00,1.00,6.00
Cobb County GA,13067,04/29,0.00,9.00,51.00,0.00,1.00,6.00
