date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
02/21,0.00,0.00,0.00,0.00,0.00,0.00
02/22,0.00,0.00,2.00,0.00,0.00,0.00
02/23,0.00,0.00,3.00,0.00,0.00,0.00
02/24,0.00,2.00,5.00,0.00,0.00,0.00
02/25,0.00,3.00,8.00,0.00,0.00,1.00
02/26,2.00,6.00,11.00,0.00,0.00,1.00
02/27,3.00,9.00,17.00,0.00,0.00,1.00
02/28,7.00,16.00,23.00,0.00,0.00,2.00
02/29,11.00,21.00,34.00,0.00,0.00,2.00
03/01,17.00,29.00,45.00,0.00,1.00,3.00
03/02,31.00,46.00,67.00,0.00,1.00,4.00
03/03,57.00,74.00,97.00,0.00,2.00,5.00
03/04,86.00,111.00,133.00,0.00,2.00,5.00
03/05,121.00,153.00,194.00,0.00,3.00,7.00
03/06,163.00,203.00,255.00,0.00,4.00,8.00
03/07,221.00,260.00,305.00,1.00,5.00,10.00
03/08,269.00,323.00,397.00,2.00,5.00,11.00
03/09,312.00,388.00,460.00,3.00,8.00,15.00
03/10,364.00,449.00,559.00,4.00,10.00,17.00
03/11,435.00,521.00,612.00,6.00,12.00,18.00
03/12,480.00,593.00,704.00,8.00,14.00,23.00
03/13,547.00,660.00,799.00,8.00,16.00,26.00
03/14,603.00,732.00,901.00,11.00,19.00,33.00
03/15,640.00,807.00,1012.00,13.00,23.00,34.00
03/16,698.00,872.00,1059.00,17.00,26.00,37.00
03/17,766.00,935.00,1131.00,16.00,32.00,44.00
03/18,801.00,988.00,1238.00,20.00,33.00,48.00
03/19,884.00,1053.00,1334.00,25.00,39.00,56.00
03/20,897.00,1105.00,1424.00,28.00,44.00,63.00
03/21,884.00,1178.00,1492.00,32.00,50.00,72.00
03/22,945.00,1219.00,1558.00,35.00,56.00,83.00
03/23,951.00,1247.00,1615.00,42.00,61.00,87.00
03/24,991.00,1281.00,1641.00,43.00,68.00,98.00
03/25,997.00,1359.00,1740.00,53.00,73.00,109.00
03/26,1072.00,1435.00,1891.00,59.00,81.00,108.00
03/27,1130.00,1526.00,2038.00,63.00,89.00,127.00
03/28,1195.00,1633.00,2223.00,69.00,98.00,138.00
03/29,1224.00,1754.00,2391.00,67.00,106.00,145.00
03/30,1329.00,1908.00,2556.00,78.00,113.00,165.00
03/31,1383.00,2041.00,2851.00,79.00,119.00,172.00
04/01,1479.00,2177.00,3114.00,84.00,123.00,188.00
04/02,1678.00,2399.00,3417.00,85.00,134.00,191.00
04/03,1718.00,2569.00,3715.00,87.00,135.00,196.00
04/04,1795.00,2706.00,3960.00,95.00,143.00,203.00
04/05,1863.00,2818.00,4167.00,96.00,144.00,213.00
04/06,1962.00,2953.00,4333.00,99.00,154.00,225.00
04/07,1929.00,3050.00,4431.00,99.00,153.00,230.00
04/08,2007.00,3124.00,4530.00,99.00,158.00,233.00
04/09,2035.00,3138.00,4654.00,93.00,155.00,230.00
04/10,2065.00,3167.00,4752.00,90.00,155.00,255.00
04/11,2115.00,3216.00,4796.00,94.00,153.00,245.00
04/12,2117.00,3312.00,4921.00,94.00,154.00,236.00
04/13,2109.00,3332.00,4990.00,97.00,158.00,243.00
04/14,2163.00,3397.00,4965.00,95.00,157.00,243.00
04/15,2159.00,3419.00,5196.00,94.00,151.00,239.00
04/16,2143.00,3369.00,5155.00,89.00,153.00,226.00
04/17,2085.00,3348.00,5122.00,91.00,152.00,231.00
