date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
04/18,2058.00,3283.00,5026.00,91.00,146.00,245.00
04/19,2074.00,3252.00,5044.00,88.00,139.00,241.00
04/20,2015.00,3244.00,4906.00,88.00,144.00,236.00
04/21,1998.00,3165.00,4958.00,80.00,139.00,224.00
04/22,1935.00,3170.00,4917.00,82.00,143.00,224.00
04/23,1815.00,3157.00,4767.00,80.00,135.00,217.00
04/24,1857.00,3069.00,4822.00,75.00,131.00,211.00
04/25,1829.00,3077.00,4676.00,76.00,133.00,212.00
04/26,1750.00,3065.00,4791.00,70.00,123.00,210.00
04/27,1841.00,2950.00,4651.00,69.00,119.00,200.00
04/28,1701.00,2875.00,4575.00,67.00,121.00,193.00
04/29,1698.00,2818.00,4695.00,70.00,115.00,196.00
04/30,1691.00,2780.00,4548.00,57.00,122.00,190.00
05/01,1656.00,2707.00,4640.00,60.00,110.00,193.00
05/02,1687.00,2686.00,4628.00,61.00,108.00,184.00
05/03,1573.00,2656.00,4665.00,57.00,104.00,178.00
05/04,0.00,0.00,0.00,0.00,0.00,0.00
05/05,0.00,0.00,0.00,0.00,0.00,0.00
05/06,0.00,0.00,0.00,0.00,0.00,0.00
05/07,0.00,0.00,0.00,0.00,0.00,0.00
05/08,0.00,0.00,0.00,0.00,0.00,0.00
05/09,0.00,0.00,0.00,0.00,0.00,0.00
05/10,0.00,0.00,0.00,0.00,0.00,0.00
05/11,0.00,0.00,0.00,0.00,0.00,0.00
05/12,0.00,0.00,0.00,0.00,0.00,0.00
05/13,0.00,0.00,0.00,0.00,0.00,0.00
05/14,0.00,0.00,0.00,0.00,0.00,0.00
05/15,0.00,0.00,0.00,0.00,0.00,0.00
05/16,0.00,0.00,0.00,0.00,0.00,0.00
05/17,0.00,0.00,0.00,0.00,0.00,0.00
05/18,0.00,0.00,0.00,0.00,0.00,0.00
05/19,0.00,0.00,0.00,0.00,0.00,0.00
05/20,0.00,0.00,0.00,0.00,0.00,0.00
05/21,0.00,0.00,0.00,0.00,0.00,0.00
05/22,0.00,0.00,0.00,0.00,0.00,0.00
05/23,0.00,0.00,0.00,0.00,0.00,0.00
05/24,0.00,0.00,0.00,0.00,0.00,0.00
05/25,0.00,0.00,0.00,0.00,0.00,0.00
05/26,0.00,0.00,0.00,0.00,0.00,0.00
05/27,0.00,0.00,0.00,0.00,0.00,0.00
05/28,0.00,0.00,0.00,0.00,0.00,0.00
05/29,0.00,0.00,0.00,0.00,0.00,0.00
05/30,0.00,0.00,0.00,0.00,0.00,0.00
05/31,0.00,0.00,0.00,0.00,0.00,0.00
06/01,0.00,0.00,0.00,0.00,0.00,0.00
06/02,0.00,0.00,0.00,0.00,0.00,0.00
06/03,0.00,0.00,0.00,0.00,0.00,0.00
06/04,0.00,0.00,0.00,0.00,0.00,0.00
06/05,0.00,0.00,0.00,0.00,0.00,0.00
06/06,0.00,0.00,0.00,0.00,0.00,0.00
06/07,0.00,0.00,0.00,0.00,0.00,0.00
06/08,0.00,0.00,0.00,0.00,0.00,0.00
06/09,0.00,0.00,0.00,0.00,0.00,0.00
06/10,0.00,0.00,0.00,0.00,0.00,0.00
06/11,0.00,0.00,0.00,0.00,0.00,0.00
06/12,0.00,0.00,0.00,0.00,0.00,0.00
