date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
04/15,50666.00,71096.00,99755.00,2349.00,3364.00,4900.00
04/16,52933.00,74422.00,104848.00,2438.00,3520.00,5163.00
04/17,55079.00,77725.00,109831.00,2540.00,3664.00,5411.00
04/18,57149.00,81021.00,114802.00,2635.00,3796.00,5630.00
04/19,59307.00,84467.00,119595.00,2732.00,3949.00,5853.00
04/20,61498.00,87957.00,124436.00,2825.00,4106.00,6089.00
04/21,63610.00,91189.00,129377.00,2914.00,4240.00,6330.00
04/22,65629.00,94283.00,134164.00,2996.00,4377.00,6567.00
04/23,67650.00,97398.00,138859.00,3085.00,4501.00,6780.00
04/24,69726.00,100474.00,143554.00,3167.00,4640.00,6975.00
04/25,71809.00,103806.00,148108.00,3252.00,4770.00,7181.00
04/26,73833.00,107223.00,152705.00,3340.00,4907.00,7380.00
04/27,75826.00,110439.00,157127.00,3407.00,5022.00,7580.00
04/28,77770.00,113259.00,161650.00,3479.00,5155.00,7764.00
04/29,79695.00,116401.00,166050.00,3548.00,5256.00,7943.00
04/30,81600.00,119641.00,170383.00,3619.00,5386.00,8116.00
05/01,83539.00,122689.00,174679.00,3689.00,5504.00,8272.00
05/02,85424.00,125503.00,178975.00,3757.00,5622.00,8437.00
05/03,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/04,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/05,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/06,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/07,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/08,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/09,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/10,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/11,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/12,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/13,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/14,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/15,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/16,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/17,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/18,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/19,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/20,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/21,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/22,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/23,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/24,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/25,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/26,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/27,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/28,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/29,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/30,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
05/31,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/01,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/02,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/03,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/04,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/05,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/06,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/07,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/08,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/09,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/10,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/11,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
06/12,87290.00,128003.00,183187.00,3823.00,5729.00,8601.00
