date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
02/21,0.00,0.00,0.00,0.00,0.00,0.00
02/22,0.00,0.00,2.00,0.00,0.00,0.00
02/23,0.00,1.00,4.00,0.00,0.00,0.00
02/24,0.00,3.00,7.00,0.00,0.00,0.00
02/25,2.00,7.00,14.00,0.00,0.00,1.00
02/26,5.00,12.00,22.00,0.00,0.00,1.00
02/27,10.00,21.00,38.00,0.00,0.00,2.00
02/28,20.00,37.00,56.00,0.00,1.00,3.00
02/29,37.00,59.00,88.00,0.00,1.00,4.00
03/01,56.00,85.00,127.00,0.00,2.00,5.00
03/02,90.00,132.00,196.00,0.00,3.00,6.00
03/03,153.00,207.00,270.00,1.00,5.00,9.00
03/04,249.00,318.00,410.00,3.00,7.00,13.00
03/05,379.00,467.00,580.00,4.00,10.00,17.00
03/06,572.00,678.00,783.00,6.00,14.00,22.00
03/07,802.00,944.00,1081.00,10.00,19.00,31.00
03/08,1084.00,1266.00,1444.00,15.00,25.00,37.00
03/09,1418.00,1655.00,1893.00,22.00,33.00,50.00
03/10,1829.00,2121.00,2453.00,28.00,42.00,63.00
03/11,2302.00,2644.00,3034.00,34.00,53.00,78.00
03/12,2782.00,3219.00,3726.00,46.00,69.00,92.00
03/13,3333.00,3867.00,4516.00,60.00,85.00,110.00
03/14,3939.00,4603.00,5377.00,76.00,103.00,137.00
03/15,4594.00,5409.00,6389.00,92.00,124.00,163.00
03/16,5328.00,6298.00,7416.00,115.00,153.00,200.00
03/17,6119.00,7232.00,8576.00,137.00,182.00,238.00
03/18,6920.00,8264.00,9800.00,163.00,216.00,277.00
03/19,7840.00,9304.00,11155.00,203.00,257.00,333.00
03/20,8737.00,10427.00,12558.00,238.00,299.00,387.00
03/21,9603.00,11624.00,14078.00,278.00,350.00,449.00
03/22,10587.00,12811.00,15647.00,318.00,407.00,516.00
03/23,11555.00,14077.00,17258.00,355.00,474.00,603.00
03/24,12562.00,15430.00,18851.00,413.00,536.00,695.00
03/25,13536.00,16785.00,20591.00,464.00,615.00,795.00
03/26,14608.00,18151.00,22389.00,512.00,689.00,901.00
03/27,15701.00,19692.00,24350.00,578.00,779.00,1018.00
03/28,16913.00,21276.00,26452.00,646.00,872.00,1149.00
03/29,18146.00,23158.00,28813.00,729.00,979.00,1283.00
03/30,19495.00,25120.00,31200.00,807.00,1091.00,1447.00
03/31,21011.00,27169.00,34022.00,895.00,1209.00,1613.00
04/01,22667.00,29370.00,37089.00,967.00,1333.00,1801.00
04/02,24377.00,31833.00,40406.00,1077.00,1467.00,1967.00
04/03,26095.00,34582.00,44030.00,1178.00,1597.00,2160.00
04/04,27832.00,37332.00,47867.00,1273.00,1740.00,2355.00
04/05,29695.00,40111.00,52034.00,1361.00,1884.00,2547.00
04/06,31593.00,43072.00,56367.00,1467.00,2039.00,2781.00
04/07,33522.00,46006.00,60729.00,1553.00,2183.00,3018.00
04/08,35529.00,48815.00,65378.00,1664.00,2326.00,3260.00
04/09,37588.00,51778.00,70032.00,1757.00,2466.00,3500.00
04/10,39677.00,54944.00,74784.00,1855.00,2624.00,3757.00
04/11,41796.00,58069.00,79567.00,1957.00,2762.00,3983.00
04/12,43982.00,61154.00,84474.00,2061.00,2914.00,4202.00
04/13,46225.00,64358.00,89504.00,2158.00,3076.00,4434.00
04/14,48388.00,67756.00,94662.00,2242.00,3224.00,4669.00
